report_id,facility_id,date,issue,severity,facility_type,building,capacity,log_id,maintenance_date,duration_hours,technician
R3087,A102,2024-02-28,may chieu khong len,medium,Phong Hoc,TOA A,50.0,M7012,,4.25,Nguyen Van A
R3088,A150,, wifi yeu,medium,Phong Hoc,B,50.0,M7014,2024-05-10,2.0,Le Thi B
R3089,A104,2024-05-14, wifi yeu,low,Phong  Hoc,BLOCK C,,M7028,2024-05-27,,Le Thi B
R3089,A104,2024-05-14, wifi yeu,low,Phong  Hoc,BLOCK C,,M7068,,1.5,Pham Van D
R3090,A127,, wifi yeu,medium,Studio,BLOCK C,80.0,M7035,2024-04-05,1.5,Tran   Van C
R3091,A131,2024-05-26,Hong bong den,high,Studio,BLOCK C,80.0,,,,
R3092,A133,2024-03-13, loa bi re,low,Phong Hoc,TOA A,60.0,M7070,,,Pham Van D
R3093,A127,2024-02-12, wifi yeu,medium,Studio,BLOCK C,80.0,,,,
R3094,A148,, loa bi re,high,Hoi Truong,BLOCK C,90.0,M7013,,4.25,Pham Van D
R3095,A147,2024-04-06, Dieu hoa hong,medium,Phong  Hoc,BLOCK C,50.0,M7011,,1.5,Nguyen Van A
R3096,A132,,Hong bong den,medium,Lab,A-BLOCK,80.0,M7066,,5.0,Tran   Van C
R3097,A104,,Hong bong den,medium,Phong  Hoc,BLOCK C,,M7029,2024-03-31,1.5,Le Thi B
R3098,A105,,may chieu khong len,low,Lab,A-BLOCK,80.0,,,,
R3099,A108,2024-04-12, Dieu hoa hong,low,Phong  Hoc,BLOCK C,,,,,
R3100,A159,, mat dien,low,Hoi Truong,C,50.0,M7083,,5.0,Pham Van D
R3100,A159,, mat dien,low,Hoi Truong,C,50.0,M7095,,,Tran   Van C
R3101,A159,, wifi yeu,high,Hoi Truong,C,50.0,M7056,2024-01-13,,Nguyen Van A
R3102,A122,2024-01-08, Dieu hoa hong,low,Studio,C,80.0,,,,
R3103,A154,, Dieu hoa hong,high,Phong Hoc,A-BLOCK,,M7044,,,Pham Van D
R3103,A154,, Dieu hoa hong,high,Phong Hoc,A-BLOCK,,M7051,2024-01-25,1.5,Nguyen Van A
R3104,A131,,Hong bong den,low,Studio,BLOCK C,80.0,,,,
R3105,A129,2024-01-21, loa bi re,medium,Studio,A,80.0,M7026,,,Le Thi B
R3105,A129,2024-01-21, loa bi re,medium,Studio,A,80.0,M7099,,4.25,Le Thi B
R3106,A140,2024-03-08, mat dien,high,Lab,TOA A,60.0,M7033,,,Pham Van D
R3107,A154,2024-05-21, mat dien,high,Phong Hoc,A-BLOCK,,M7002,2024-01-21,4.25,Nguyen Van A
R3108,A134,, Dieu hoa hong,medium,Phong  Hoc,BLOCK C,,M7047,2024-05-09,4.25,Nguyen Van A
R3109,A118,2024-05-12, mat dien,high,Hoi Truong,A,90.0,,,,
R3110,A135,2024-04-25, wifi yeu,high,Hoi Truong,B,80.0,M7089,,,Nguyen Van A
R3111,A151,2024-01-01,Hong bong den,low,Phong  Hoc,A-BLOCK,,M7086,2024-03-25,2.0,Pham Van D
R3112,A106,,may chieu khong len,medium,Studio,TOA A,,,,,
R3113,A132,,may chieu khong len,low,Lab,A-BLOCK,80.0,M7058,2024-02-19,1.5,Tran   Van C
R3114,A117,2024-01-11, Dieu hoa hong,high,Lab,A-BLOCK,50.0,,,,
R3115,A128,2024-04-18, loa bi re,low,Lab,A-BLOCK,,M7008,,2.0,Le Thi B
R3115,A128,2024-04-18, loa bi re,low,Lab,A-BLOCK,,M7009,2024-02-05,5.0,Le Thi B
R3116,A158,2024-02-15, wifi yeu,low,Lab,A,,M7016,,,Nguyen Van A
R3116,A158,2024-02-15, wifi yeu,low,Lab,A,,M7063,2024-06-09,,Nguyen Van A
R3117,A123,2024-01-05, Dieu hoa hong,high,Lab,C,90.0,M7084,2024-04-13,,Tran   Van C
R3118,A103,, wifi yeu,high,Hoi Truong,TOA A,50.0,,,,
R3119,A136,, mat dien,low,Studio,B,60.0,,,,
